Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	c87bb3cb-4285-4183-96ba-56da85797635
Plate Name	11.07.23-OPP incorporation
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	3	1	1630	656	[1491,620,1698,688]	-491,23	1419,78					863,74	715	
2	2	1	0	3	2	861	1376	[783,1125,956,1753]	-703,25	1196,04					1433,62	821	
2	2	1	0	3	3	94	1287	[0,1224,145,1383]	-942,25	1230,37					1198,89	694	
2	2	1	0	3	4	1704	1595	[1651,1562,1824,1617]	-451,51	1140,56					932,791	765	
2	2	1	0	3	5	1466	1800	[1441,1769,1528,1870]	-524,53	1072,16					951,226	791	
2	2	1	0	3	6	2108	2082	[2059,2057,2133,2133]	-339,05	990,37					581,586	457	
2	2	1	0	3	7	1626	2138	[1552,2108,1681,2159]	-482,36	975,95					802,451	651	
2	2	1	0	23	1	750	39	[671,0,856,78]	-96,43	-979,91					1278,86	409	
2	2	1	0	23	2	938	146	[869,62,1026,248]	-44,3	-1012,25					1358,76	607	
2	2	1	0	23	3	228	176	[175,73,284,258]	-256,71	-1019,91					912,419	512	
2	2	1	0	23	4	858	254	[804,132,900,313]	-68,95	-1042,55					1983,06	689	
2	2	1	0	23	5	307	272	[224,177,425,400]	-225,46	-1057,37					1163,15	529	
2	2	1	0	23	6	495	323	[439,177,579,415]	-174,7	-1059,76					1825,67	600	
2	2	1	0	23	7	37	341	[0,309,121,375]	-306,59	-1072,41					831,91	524	
2	2	1	0	23	8	1839	370	[1657,314,2008,416]	227,01	-1075,24					846,375	499	
2	2	1	0	23	9	1230	449	[1190,346,1298,506]	45,91	-1098,45					1439,92	783	
2	2	1	0	23	10	181	469	[145,399,218,573]	-268,98	-1116,35					1657,13	901	
2	2	1	0	23	11	538	492	[498,410,581,572]	-162,26	-1116,11					1831,01	971	
2	2	1	0	23	12	2134	518	[2108,466,2159,599]	315,12	-1127,18					538,459	390	
2	2	1	0	23	13	1100	545	[1015,482,1190,619]	5,56	-1132,62					1937,36	1041	
2	2	1	0	23	14	676	564	[555,492,731,655]	-130,54	-1141,16					2061,18	878	
2	2	1	0	23	15	1260	576	[1180,506,1330,647]	50,59	-1139,4					1710	903	
2	2	1	0	23	16	1568	613	[1515,558,1619,733]	144,96	-1157,07					2247,22	953	
2	2	1	0	23	17	1284	697	[1192,632,1423,743]	65,14	-1173,08					1999,02	934	
2	2	1	0	23	18	114	689	[37,625,181,755]	-290,72	-1176,28					1313,09	649	
2	2	1	0	23	19	268	720	[213,646,350,845]	-238,67	-1191,75					1670,9	910	
2	2	1	0	23	20	44	736	[0,681,176,838]	-303,22	-1195,96					1246,47	601	
2	2	1	0	23	21	1119	794	[1051,715,1183,895]	10,42	-1207,51					1563,52	948	
2	2	1	0	23	22	439	799	[358,734,543,893]	-190,61	-1212,4					1443,34	892	
2	2	1	0	23	23	1204	828	[1133,753,1322,881]	40,44	-1213,05					1754,6	897	
2	2	1	0	23	24	225	856	[183,801,276,910]	-254,3	-1226,14					1650,22	966	
2	2	1	0	23	25	1064	1002	[984,885,1117,1082]	-3,02	-1262,37					3122,33	1023	
2	2	1	0	23	26	605	963	[540,891,689,1029]	-138,67	-1260,14					2434,12	999	
2	2	1	0	23	27	797	993	[686,920,850,1041]	-92,38	-1261,23					1216,96	902	
2	2	1	0	23	28	293	1045	[200,959,340,1108]	-242,47	-1280,25					1530,27	823	
2	2	1	0	23	29	809	1099	[715,968,863,1244]	-84,47	-1294,53					2542,59	985	
2	2	1	0	23	30	370	1118	[317,1001,432,1285]	-207,74	-1308,18					2663,62	888	
2	2	1	0	23	31	925	1104	[876,1007,997,1174]	-42,74	-1297,14					2208,56	1041	
2	2	1	0	23	32	1313	1119	[1171,1023,1392,1269]	60,21	-1310,24					1279,11	886	
2	2	1	0	23	33	1691	1751	[1649,1651,1739,1855]	184,63	-1491,83					1749,7	869	
2	2	1	0	23	34	1384	1905	[1279,1829,1468,2018]	88,43	-1541,1					1484,87	850	
2	2	1	0	23	35	623	2093	[557,2023,695,2140]	-135,65	-1592,7					896,689	718	
2	2	1	0	20	1	144	28	[95,0,216,59]	-1568,28	-332,09					855,246	363	
2	2	1	0	20	2	506	22	[461,0,645,53]	-1449,73	-328,93					1347,03	493	
2	2	1	0	20	3	750	39	[641,0,808,97]	-1396,19	-333,44					1046,52	465	
2	2	1	0	20	4	846	20	[807,0,926,42]	-1357,94	-328,87					1206,27	464	
2	2	1	0	20	5	702	132	[612,86,758,175]	-1408,54	-362,93					1500,4	589	
2	2	1	0	20	6	874	133	[828,100,911,169]	-1355,34	-364,44					1487,87	697	
2	2	1	0	20	7	77	182	[34,115,123,217]	-1593,78	-374,79					901,549	468	
2	2	1	0	20	8	436	173	[392,125,514,263]	-1479,39	-380,23					2239,27	746	
2	2	1	0	20	9	357	269	[249,175,414,319]	-1513,76	-401,07					718,023	526	
2	2	1	0	20	10	557	228	[514,180,598,270]	-1449,76	-391,65					2971,22	1391	
2	2	1	0	20	11	224	254	[179,218,289,288]	-1547,1	-398,96					1127,41	572	
2	2	1	0	20	12	112	272	[58,217,205,316]	-1577,52	-407					925,611	486	
2	2	1	0	20	13	750	316	[677,218,967,380]	-1376,57	-410,87					1998,68	730	
2	2	1	0	20	14	446	331	[411,289,507,361]	-1479,58	-422,14					936,142	669	
2	2	1	0	20	15	782	457	[758,362,811,482]	-1379,52	-451,08					3510,05	967	
2	2	1	0	20	16	1424	448	[1382,400,1481,511]	-1187,15	-456,92					1704,31	810	
2	2	1	0	20	17	1510	478	[1468,420,1581,549]	-1162,78	-466,97					2487,32	975	
2	2	1	0	20	18	1290	537	[1164,455,1376,630]	-1230,65	-486,23					1814,52	829	
2	2	1	0	20	19	1598	511	[1562,467,1634,561]	-1137,41	-478,11					1459,96	728	
2	2	1	0	20	20	86	540	[39,476,129,601]	-1589,2	-487,29					1990,56	670	
2	2	1	0	20	21	1942	757	[1892,537,2018,893]	-1029,99	-539,33					1059,75	539	
2	2	1	0	20	22	85	672	[0,634,127,722]	-1592,55	-525,99					3041,02	952	
2	2	1	0	20	23	596	689	[554,658,659,735]	-1433,5	-532,04					3054,99	1055	
2	2	1	0	20	24	1776	846	[1716,680,1868,896]	-1078,58	-558,99					1133,56	736	
2	2	1	0	20	25	766	748	[712,714,850,797]	-1383,67	-549,72					2388,71	1147	
2	2	1	0	20	26	214	826	[176,756,250,880]	-1550,1	-571,76					2870,35	840	
2	2	1	0	20	27	1879	846	[1828,780,1935,879]	-1050,63	-570,5					1316,69	799	
2	2	1	0	20	28	831	840	[734,789,896,888]	-1366,32	-573,52					3568,31	1182	
2	2	1	0	20	29	965	888	[934,816,1006,992]	-1324,39	-595,2					2053,91	1065	
2	2	1	0	20	30	574	865	[541,814,623,920]	-1441,36	-582,05					2658,16	1047	
2	2	1	0	20	31	329	959	[294,851,361,1044]	-1515,54	-607,73					2494,96	927	
2	2	1	0	20	32	523	941	[497,893,574,979]	-1454,53	-605,23					2972,93	1003	
2	2	1	0	20	33	28	1121	[0,1082,57,1216]	-1606,08	-666,55					1335,05	431	
2	2	1	0	20	34	1632	1205	[1573,1145,1684,1254]	-1128,11	-682,35					1712,51	894	
2	2	1	0	20	35	31	1259	[0,1198,62,1339]	-1605,35	-703,74					2696,93	778	
2	2	1	0	20	36	1929	1542	[1903,1435,1953,1598]	-1038,55	-777,98					1794,97	776	
2	2	1	0	20	37	2072	1606	[2034,1547,2102,1642]	-996,15	-798,35					1215,79	594	
2	2	1	0	20	38	2124	1698	[2086,1622,2159,1807]	-976,23	-831,24					876,299	519	
2	2	1	0	20	39	1855	1728	[1803,1638,1948,1892]	-1057,77	-846,17					1013,31	697	
2	2	1	0	20	40	1264	1854	[1165,1762,1327,1941]	-1236,63	-875,24					1909,23	901	
2	2	1	0	20	41	1438	1932	[1342,1845,1548,1982]	-1182,15	-898					1445,59	810	
2	2	1	0	20	42	2086	1995	[1998,1952,2159,2050]	-990,48	-917,55					1196,33	541	
2	2	1	0	18	1	694	35	[588,0,750,77]	-121,5	-333,27					792,265	416	
2	2	1	0	18	2	1704	30	[1649,0,1761,63]	184,65	-329,41					1379,92	388	
2	2	1	0	18	3	1806	59	[1762,0,1840,117]	213,19	-336,71					661,248	324	
