Database Name	Operetta CLS
Database Location	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	c87bb3cb-4285-4183-96ba-56da85797635
Plate Name	11.07.23-OPP incorporation
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cells - Intensity Cell 5-TAMRA Mean - Mean per Well	Cells - Intensity Cell 5-TAMRA Mean - StdDev per Well	Cells - Intensity Cell 5-TAMRA Mean - Sum per Well	Cells - Intensity Cell 5-TAMRA Mean - Max per Well	Cells - Intensity Cell 5-TAMRA Mean - Min per Well	Cells - Intensity Cell 5-TAMRA Mean - Median per Well	Cells - Intensity Cell 5-TAMRA Minimum - Mean per Well	Cells - Intensity Cell 5-TAMRA Minimum - StdDev per Well	Cells - Intensity Cell 5-TAMRA Minimum - Sum per Well	Cells - Intensity Cell 5-TAMRA Minimum - Max per Well	Cells - Intensity Cell 5-TAMRA Minimum - Min per Well	Cells - Intensity Cell 5-TAMRA Minimum - Median per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	2	1	0	1745,53465255	839,919221478	1042084,18757	7562,92519379	333,16986658	1657,1290953	823,763819095	430,183868326	491787	6160	222	818	25	5	0	0					
2	3	1	0	1622,41422598	622,565658244	1035100,27618	3771,9773226	413,752951389	1527,61945754	798,71630094	208,116973096	509581	1752	264	830,5	25	5	0	0					
2	4	1	0	1407,67907444	570,622536415	391334,782694	3517,22865033	446,657684882	1209,03331733	805,442446043	226,067260838	223913	2213	304	824,5	25	5	0	0					
2	5	1	0	1815,37090382	660,153188595	1216298,50556	4714,82368904	448,092254563	1758,66915367	876,271641791	233,643253161	587102	1824	266	904	25	5	0	0					
2	6	1	0	1702,79708758	642,632920483	737311,138923	4156,31595543	381,957215237	1683,90660496	880,702078522	231,090353142	381344	1934	268	902	25	5	0	0					
2	7	1	0	1753,50058099	649,496993626	987220,827096	4391,64017094	497,914848324	1729,2468203	846,204262877	244,779505362	476413	1928	259	880	25	5	0	0					
2	8	1	0	1424,45867088	517,977079185	559812,257654	3647,57545605	398,150983146	1344,92959532	809,066157761	217,536498696	317963	1696	264	859	25	5	0	0					
2	9	1	0	1439,78559385	531,133240598	547118,52566199994	3517,09007282	431,956213511	1328,290696	790,215789474	192,006612032	300282	1357	270	829,5	25	5	0	0					
2	10	1	0	1373,32399653	462,215255727	556196,218595	2791,23992674	423,807839229	1305,76622507	757,30617284	186,132990586	306709	1299	247	786	25	5	0	0					
2	11	1	0	1475,67619184	540,561662822	909016,534172	4070,78964533	401,361248272	1445,2241573	767,288961039	206,666671512	472650	1777	219	803,5	25	5	0	0					
3	2	1	0	1306,40876341	439,66941824	542159,636816	3606,03629365	426,459827586	1285,59242405	751,178313253	186,128888936	311739	1384	234	783	25	5	0	0					
3	3	1	0	1180,39996101	405,104529678	365923,987914	2626,88123827	436,30923277	1127,42876485	718,558064516	180,32687378	222753	1465	235	744	25	5	0	0					
3	4	1	0	1171,00539797	343,514339355	230688,0634	2008,35991291	412,693569727	1087,31622658	738,401015228	180,517274313	145465	1174	262	781	25	5	0	0					
3	5	1	0	1602,8339717	554,941529043	1059473,25529	4571,04558214	484,76028436	1562,65616072	839,408472012	217,528555118	554849	2197	251	869	25	5	0	0					
3	6	1	0	1443,91503548	480,536093899	707518,367386	3972,99560527	464,812587658	1426,58291485	819,871428571	201,96221933	401737	1407	181	855	25	5	0	0					
3	7	1	0	1384,92809102	459,448467909	696618,829785	3156,25362319	414,501734305	1357,83123406	802,745526839	212,985267	403781	1479	238	838	25	5	0	0					
3	8	1	0	1405,71779436	464,340801704	395006,700216	2590,58937368	361,835563562	1364,99978369	820,377224199	215,988045422	230526	1551	260	860	25	5	0	0					
3	9	1	0	1828,23032158	689,764430579	1085968,81102	4825,14704063	503,357412297	1782,6848047	838,787878788	207,105561929	498240	1486	275	875	25	5	0	0					
3	10	1	0	1408,15585038	546,75222196	309794,287083	4903,50687689	376,353588397	1356,18031541	787,104545455	180,277647301	173163	1375	257	819	25	5	0	0					
3	11	1	0	863,417445893	331,414247272	22448,8535932	1679,98001757	348,015917342	840,697444203	670,692307692	265,021020937	17438	1163	256	674	25	5	0	0					
4	2	1	0	1235,06753927	389,407561998	907774,641362	4271,80774749	347,08388023	1206,33362269	756,02585034	189,533704698	555679	2029	242	786	25	5	0	0					
4	3	1	0	1234,57133622	358,601267612	709878,518328	2479,84173886	422,15377388	1222,45629356	762,84173913	190,529358846	438634	1394	269	809	25	5	0	0					
4	4	1	0	1204,68918844	350,847490099	628847,756363	2488,44540886	358,539295393	1190,70059632	751,08045977	192,148008674	392064	1297	249	796	25	5	0	0					
4	5	1	0	1561,5284956	474,762947044	1516244,16922	3350,29204285	422,807396376	1547,49618922	837,967044284	204,659085263	813666	1372	267	876	25	5	0	0					
4	6	1	0	1519,59990576	445,186735802	1312934,31858	3030,54321164	471,098934078	1522,7006115	847,949074074	210,553361752	732628	1946	269	893	25	5	0	0					
4	7	1	0	1316,50156194	402,848074904	899170,566803	2912,38263113	394,855035723	1282,88610092	804,761346999	197,540998007	549652	1288	256	840	25	5	0	0					
4	8	1	0	1813,80125865	599,482503315	1494572,23713	5150,89682369	397,288061083	1838,14307133	891,463592233	240,463426885	734566	1849	267	936,5	25	5	0	0					
4	9	1	0	1700,18089241	545,811169719	1009907,45009	3465,15172106	412,570592538	1696,78108401	848,127946128	206,853257843	503788	1575	265	886,5	25	5	0	0					
4	10	1	0	1487,9914159	547,690334866	706795,92255	3520,72614394	427,741365777	1393,17171991	796,774736842	209,433266296	378468	1868	244	830	25	5	0	0					
4	11	1	0	759,846312613	154,475212138	47110,471382	1118,51873034	412,86517761	789,324124715	615,564516129	141,912420576	38165	973	310	622,5	25	5	0	0					
5	2	1	0	1289,51784299	453,514529285	660233,13561	3328,59278132	404,420897916	1250,95888328	753,17578125	191,909786881	385626	1426	264	788,5	25	5	0	0					
5	3	1	0	1307,05415397	378,79568049	950228,36994	2874,70051827	413,118738404	1286,52212652	792,104539202	180,550421271	575860	1219	206	838	25	5	0	0					
5	4	1	0	1464,84104621	343,779043701	439452,313862	2348,89139974	612,506765382	1473,9547239	1102,23333333	260,478744128	330670	1637	455	1121	25	5	0	0					
5	5	1	0	1659,91265322	478,507212404	1784406,10221	4536,83357418	417,029441884	1663,63105077	897,564651163	221,72682762	964882	2209	266	948	25	5	0	0					
5	6	1	0	1529,37994776	435,3303403	1339736,83424	3177,23062731	447,331103679	1542,83153333	871,812785388	198,536483288	763708	1569	262	919,5	25	5	0	0					
5	7	1	0	1202,47489181	301,472537696	379982,065811	2092,91257806	509,709703504	1230,87665988	812,272151899	190,166331496	256678	1104	278	853,5	25	5	0	0					
5	8	1	0	1789,10741714	546,99588825	1792685,63197	3930,90480653	388,872020725	1779,7780331	931,756487026	248,943511085	933620	2342	252	972,5	25	5	0	0					
5	9	1	0	3118,4110194	852,689774576	2728609,64198	5786,57583261	1113,3708541	3189,85802742	1827,02057143	419,706440436	1598643	3290	744	1880	25	5	0	0					
5	10	1	0	1103,95728146	294,374400169	334499,056282	1873,57675324	401,062135922	1095,19001812	731,471947195	180,864128062	221636	1075	241	784	25	5	0	0					
5	11	1	0	927,105242651	803,802701435	60261,8407723	5162,82759021	424,673817726	791,721528155	705,276923077	455,432675722	45843	2892	292	643	25	5	0	0					
6	2	1	0	1087,38160643	393,050596563	168544,148997	2682,32508452	429,165072329	998,158014572	738,393548387	178,255562081	114451	1249	238	777	25	5	0	0					
6	3	1	0	1357,15200871	474,960043188	747790,756801	3452,20301609	398,026670574	1310,67623335	776,005444646	197,214184368	427579	1330	268	810	25	5	0	0					
6	4	1	0	1225,69415513	384,914566771	321131,868643	2704,19493939	360,613681102	1128,26652629	783,404580153	186,565069997	205252	1131	242	818,5	25	5	0	0					
6	5	1	0	1884,80598353	612,687050102	1511614,3988	5511,27362438	483,163172468	1857,97235303	1016,99875312	240,93682897	815633	2055	289	1057,5	25	5	0	0					
6	6	1	0	1548,10347515	526,075706339	1263252,43572	4052,42306887	428,304213283	1534,71879587	839,213235294	217,554830257	684798	1690	261	875,5	25	5	0	0					
6	7	1	0	1271,15613921	410,81928803	691508,939729	2663,92969299	389,743401015	1202,60619772	785,044117647	200,587585023	427064	1505	245	841,5	25	5	0	0					
6	8	1	0	1864,76324798	678,173302029	1480622,0189	5053,5373758	494,092262576	1839,18066854	867,575566751	247,552712529	688855	2451	266	879	25	5	0	0					
6	9	1	0	2116,65682556	832,100691358	901695,807687	4251,7804412	467,286082032	2171,60697506	881,171361502	242,794507597	375379	1595	253	915	25	5	0	0					
6	10	1	0	1550,06084977	595,725440628	694427,260696	4276,88286334	534,759341472	1479,37406055	795,453125	200,118248129	356363	1817	265	826,5	25	5	0	0					
6	11	1	0	775,625313509	168,449348118	89196,9110536	1539,03781651	323,53633218	823,657237152	625,052173913	143,236942914	71881	776	234	679	25	5	0	0					
7	2	1	0	1277,38381503	366,180770271	517340,445085	2782,69027044	382,009759419	1274,74031863	787,960493827	187,350688853	319124	1229	251	834	25	5	0	0					
7	3	1	0	1494,21585777	508,522156026	567802,025952	3671,40422843	456,514278297	1451,29226614	935,660526316	225,447495235	355551	1585	310	985,5	25	5	0	0					
7	4	1	0	1044,29410809	280,888104842	286136,585616	2216,81108776	336,064342361	1050,13829129	728,879562044	184,984258567	199713	1410	199	796,5	25	5	0	0					
7	5	1	0	1512,6191272	627,542967911	691266,941129	4704,89063237	397,09685696	1440,77270924	798,90809628	215,336884883	365101	1588	241	853	25	5	0	0					
7	6	1	0	1370,07492723	405,925932102	686407,538542	2731,27629063	363,194004081	1400,33040422	807,447105788	195,532011948	404531	1306	243	854	25	5	0	0					
7	7	1	0	1081,59313546	248,296388662	266071,911322	1755,6042872	399,842450318	1083,81095442	790,443089431	173,626066688	194449	1059	249	841	25	5	0	0					
7	8	1	0	1385,34233981	387,491013949	773021,025615	2541,35939566	491,89561707	1406,77773005	831,399641577	207,835454353	463921	1290	264	889,5	25	5	0	0					
7	9	1	0	1317,89013227	384,263406859	636540,933888	2509,97973401	426,202960305	1308,24979276	795,064182195	200,858980125	384016	1311	255	828	25	5	0	0					
7	10	1	0	1114,74319328	280,609806785	384586,401681	1896,15658384	405,150062267	1123,30202348	768,913043478	195,712720999	265275	1146	272	808	25	5	0	0					
