Row	Column	Plane	Timepoint	Field	Channel ID	Channel Name	Channel Type	URL	ImageResolutionX [m]	ImageResolutionY [m]	ImageSizeX	ImageSizeY	PositionX [m]	PositionY [m]	Time Stamp	
2	2	1	0	1	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1513-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0	2023-07-11T17:09:30,513+02:00	
2	2	1	0	1	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1513-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0	2023-07-11T17:09:30,827+02:00	
2	2	1	0	1	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1513-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0	2023-07-11T17:09:31,060+02:00	
2	2	1	0	2	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1514-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0,001291628	2023-07-11T17:09:32,073+02:00	
2	2	1	0	2	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1514-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0,001291628	2023-07-11T17:09:32,370+02:00	
2	2	1	0	2	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1514-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,001291628	0,001291628	2023-07-11T17:09:32,587+02:00	
2	2	1	0	3	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1515-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0,001291628	2023-07-11T17:09:33,197+02:00	
2	2	1	0	3	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1515-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0,001291628	2023-07-11T17:09:33,510+02:00	
2	2	1	0	3	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1515-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	-0,000645814	0,001291628	2023-07-11T17:09:33,757+02:00	
2	2	1	0	4	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1516-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0,001291628	2023-07-11T17:09:34,350+02:00	
2	2	1	0	4	2	5-TAMRA	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1516-99-95-50-81-63-41-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0,001291628	2023-07-11T17:09:34,647+02:00	
2	2	1	0	4	3	HOECHST 33258	Fluorescence	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1516-99-95-50-81-63-40-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0	0,001291628	2023-07-11T17:09:34,880+02:00	
2	2	1	0	5	1	BIOP Digital Phase Contrast	Phase	http://sv-01-366/ODA/Images/C/61197efc-651e-4316-bd94-0804326df030/1517-99-95-50-81-63-42-610.tiff	2,98988040478381E-07	2,98988040478381E-07	2160	2160	0,000645814	0,001291628	2023-07-11T17:09:35,460+02:00	
