Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	2b185cda-bd25-4ec7-abb1-d37a8cb17dad
Plate Name	19.06.24 OPP ISRIB
Measurement	Measurement 1
Evaluation	Evaluation8
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	15	1	36	24	[3,0,96,47]	981,64	314,79					264,081	180	
2	2	1	0	15	2	1924	911	[1728,775,2045,1104]	1535,47	54,06					682,96	401	
2	2	1	0	15	3	1725	972	[1687,948,1788,1007]	1485,46	32,56					596,775	465	
2	2	1	0	15	4	1164	1059	[1099,1025,1236,1130]	1319,42	2,38					656,193	536	
2	2	1	0	15	5	739	1330	[711,1243,760,1405]	1189,52	-74,49					634,368	492	
2	2	1	0	15	6	1084	2129	[1019,2097,1162,2159]	1296,5	-314,82					569,719	344	
2	2	1	0	15	7	1008	1045	[914,966,1082,1124]	1267,92	9,94					762,096	533	
2	2	1	0	16	1	1071	28	[992,0,1138,202]	1282,95	-346,2					400,512	269	
2	2	1	0	16	2	845	154	[810,114,863,252]	1218,05	-379,71					455,563	346	
2	2	1	0	16	3	1564	201	[1514,182,1631,222]	1437,02	-383,59					431,58	349	
2	2	1	0	16	4	298	580	[237,535,347,626]	1057,27	-497,24					633,705	399	
2	2	1	0	16	5	95	916	[47,781,161,1050]	1000,72	-597,63					617,105	408	
2	2	1	0	16	6	737	1003	[657,918,808,1218]	1185,4	-632,6					1045,56	543	
2	2	1	0	16	7	28	1028	[0,937,57,1093]	975,92	-626,78					480,431	376	
2	2	1	0	16	8	1286	1402	[1228,1351,1354,1448]	1354,35	-742,66					870,992	581	
2	2	1	0	16	9	1028	2060	[988,1974,1134,2159]	1281,35	-946,71					787,186	488	
