Database Name	Operetta CLS
Database Location	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	2b185cda-bd25-4ec7-abb1-d37a8cb17dad
Plate Name	19.06.24 OPP ISRIB
Measurement	Measurement 1
Evaluation	Evaluation8

[Data]
Row	Column	Plane	Timepoint	Cells - Intensity Cell 5-TAMRA Mean - Mean per Well	Cells - Intensity Cell 5-TAMRA Mean - StdDev per Well	Cells - Intensity Cell 5-TAMRA Mean - Sum per Well	Cells - Intensity Cell 5-TAMRA Mean - Max per Well	Cells - Intensity Cell 5-TAMRA Mean - Min per Well	Cells - Intensity Cell 5-TAMRA Mean - Median per Well	Cells - Intensity Cell 5-TAMRA Minimum - Mean per Well	Cells - Intensity Cell 5-TAMRA Minimum - StdDev per Well	Cells - Intensity Cell 5-TAMRA Minimum - Sum per Well	Cells - Intensity Cell 5-TAMRA Minimum - Max per Well	Cells - Intensity Cell 5-TAMRA Minimum - Min per Well	Cells - Intensity Cell 5-TAMRA Minimum - Median per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	2	1	0	688,9080045	227,395864271	234917,629534	1745,3485176	246,574746769	653,181947913	429,123167155	108,033012751	146331	775	131	452	30	6	0	0					
2	3	1	0	752,409008198	285,280290597	414577,363517	2619,71376975	275,126515152	705,916816334	424,092558984	104,905622343	233675	817	141	439	30	6	0	0					
2	4	1	0	779,010038719	248,885148712	347438,477269	1606,24251781	289,89188301	741,808352317	473,060538117	119,932952856	210985	890	189	495	30	6	0	0					
2	5	1	0	698,438595796	219,761138068	387633,420667	1926,72748722	243,987102429	680,421501447	453,336936937	152,155772314	251602	1639	133	457	30	6	0	0					
2	6	1	0	761,400590847	224,23093642	338823,262927	1648,60739005	271,199251955	733,015508465	498,808988764	115,374759173	221970	792	182	517	30	6	0	0					
2	7	1	0	707,932007472	178,306441976	309366,287265	1824,96303008	296,257616975	708,760718424	490,940503432	112,14170726	214541	949	193	503	30	6	0	0					
3	2	1	0	630,361597083	206,839986299	226299,813353	2255,15710407	244,08930603	612,088194055	421,245125348	157,10737556	151227	1988	132	435	30	6	0	0					
3	3	1	0	641,290669181	169,72806838	384774,401508	1444,71862319	258,044569817	638,31978627	403,041666667	94,5062201125	241825	607	150	425	30	6	0	0					
3	4	1	0	664,879049824	182,923909693	309833,637218	1467,99889819	258,768031189	641,391371627	415,28111588	91,3124633618	193521	617	149	432,5	30	6	0	0					
3	5	1	0	886,153711038	190,631663035	722215,274496	1446,75907741	345,884289277	900,750640697	614,888343558	133,050510625	501134	978	216	636	30	6	0	0					
3	6	1	0	829,298300723	193,55787714	495091,085532	1377,92312493	384,152584085	834,549083064	565,685092127	128,994061029	337714	978	252	579	30	6	0	0					
3	7	1	0	954,643173054	217,839007477	624336,635177	2159,79856188	408,669844021	961,6666175	676,876146789	153,374572606	442677	1395	273	699	30	6	0	0					
4	2	1	0	775,527863499	274,581455366	611115,956437	5518,47664917	310,815647724	769,826459237	451,054568528	116,397255267	355431	2002	142	468,5	30	6	0	0					
4	3	1	0	795,593819194	204,522827375	477356,291516	1685,3150843	276,550632911	794,005917111	499,451666667	107,542860178	299671	795	161	525,5	30	6	0	0					
4	4	1	0	770,451590191	192,996053965	430682,438917	1335,88055146	281,903202329	768,405657895	495,033989267	109,446132101	276724	767	195	517	30	6	0	0					
4	5	1	0	775,500823728	235,827826019	606441,644156	3818,96087483	290,219213175	781,771082601	468,147058824	112,459320221	366091	748	171	498	30	6	0	0					
4	6	1	0	810,418898185	197,546719795	888219,112411	1522,52794337	278,68544137	830,561918414	491,450729927	111,524100389	538630	831	167	518	30	6	0	0					
4	7	1	0	671,098620984	171,289133609	178512,233182	1109,64962571	275,676688793	677,967615739	464,060150376	114,994619031	123440	700	164	498,5	30	6	0	0					
5	2	1	0	733,118470833	262,080053573	318906,534812	2543,27698164	273,625688478	694,351746258	483,972413793	114,879256077	210528	814	125	511	30	6	0	0					
5	3	1	0	764,419013677	221,307349561	493050,263822	2036,13120724	308,300377929	756,123857024	475,319379845	107,723753903	306581	671	180	494	30	6	0	0					
