Database Name	Operetta CLS
Database Link	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	8b82562c-8103-4e1a-9d8f-fa87b04ad1b9
Plate Name	2023-04-27-OPP
Measurement	Measurement 1
Evaluation	Evaluation1
Population	Population - Cells

[Data]
Row	Column	Plane	Timepoint	Field	Object No	X	Y	Bounding Box	Position X [µm]	Position Y [µm]	Compound	Concentration	Cell Type	Cell Count	Cells - Intensity Cell 5-TAMRA Mean	Cells - Intensity Cell 5-TAMRA Minimum	
2	2	1	0	4	1	36	91	[0,3,147,153]	-953,96	-347,43					951,673	288	
2	2	1	0	4	2	494	29	[432,0,542,104]	-822,45	-335,09					1339,91	495	
2	2	1	0	4	3	799	200	[652,0,925,338]	-730,46	-364,32					1445,02	482	
2	2	1	0	4	4	1112	34	[1066,0,1151,109]	-638,75	-334					1209,08	579	
2	2	1	0	4	5	1198	69	[1145,0,1255,225]	-609,5	-354,41					1419,38	625	
2	2	1	0	4	6	1263	31	[1166,0,1320,91]	-594,56	-332,02					1560,55	414	
2	2	1	0	4	7	1720	34	[1671,0,1802,70]	-451,24	-330,35					940,304	378	
2	2	1	0	4	8	2123	36	[2008,0,2159,111]	-342,09	-332,87					568,035	248	
2	2	1	0	4	9	625	72	[537,0,698,137]	-785,31	-344,35					974,237	444	
2	2	1	0	4	10	1616	63	[1571,17,1665,132]	-487,54	-343,63					1021,26	532	
2	2	1	0	4	11	938	96	[876,17,983,197]	-691,7	-356,36					1614,18	828	
2	2	1	0	4	12	1046	139	[1004,35,1091,227]	-655,94	-361,43					1282,22	687	
2	2	1	0	4	13	1379	115	[1337,31,1424,189]	-557,5	-356,9					1504,15	650	
2	2	1	0	4	14	1751	116	[1679,48,1840,178]	-445,22	-356,07					887,901	397	
2	2	1	0	4	15	1523	134	[1472,75,1572,203]	-513,92	-361,97					1200,98	700	
2	2	1	0	4	16	1913	202	[1847,95,2027,275]	-392,71	-376,47					1237,05	397	
2	2	1	0	4	17	2098	154	[2046,79,2159,223]	-340,83	-367,53					837,709	250	
2	2	1	0	4	18	258	149	[186,93,344,210]	-891,15	-368,27					1563,72	613	
2	2	1	0	4	19	1292	219	[1210,112,1363,304]	-583,52	-386,02					1532,13	655	
2	2	1	0	4	20	933	218	[874,116,1010,288]	-687,47	-384,41					1585,95	755	
2	2	1	0	4	21	1141	173	[1101,117,1214,294]	-624,97	-383,99					1337,08	627	
2	2	1	0	4	22	620	184	[571,140,696,231]	-782,87	-376,92					1759,79	762	
2	2	1	0	4	23	411	251	[353,130,483,341]	-843,72	-393,96					1313,21	725	
2	2	1	0	4	24	98	204	[16,135,211,270]	-938,94	-384,15					1223,59	486	
2	2	1	0	4	25	682	218	[623,146,741,286]	-764,83	-389,26					1648,99	1044	
2	2	1	0	4	26	569	246	[521,142,628,303]	-800,55	-393,51					1848,39	846	
2	2	1	0	4	27	1011	385	[914,167,1073,431]	-672,11	-418,79					2066,47	749	
2	2	1	0	4	28	1643	211	[1596,171,1787,275]	-465,99	-386,98					981,623	496	
2	2	1	0	4	29	1396	246	[1345,168,1447,331]	-551,76	-397,82					1659,56	896	
2	2	1	0	4	30	1558	256	[1510,206,1608,314]	-504,45	-400,03					1227,99	860	
2	2	1	0	4	31	1073	321	[1030,210,1115,362]	-647,01	-410,9					1804,11	967	
2	2	1	0	4	32	2042	281	[1995,225,2093,340]	-359,33	-405,71					993,888	452	
2	2	1	0	4	33	231	297	[186,241,274,385]	-901,22	-417,23					1317,45	704	
2	2	1	0	4	34	1322	295	[1283,255,1361,363]	-573,63	-414,32					1646,63	825	
2	2	1	0	4	35	1731	336	[1668,244,1841,392]	-445,53	-417,27					1269,19	558	
2	2	1	0	4	36	535	472	[404,242,786,549]	-790,32	-441,6					1852,93	743	
2	2	1	0	4	37	323	318	[279,255,376,412]	-871,92	-424,3					1638,14	635	
2	2	1	0	4	38	1148	334	[1065,288,1190,466]	-630,94	-433,58					1814,68	1005	
2	2	1	0	4	39	1196	378	[1109,284,1235,486]	-616,8	-441,13					2017,25	969	
2	2	1	0	4	40	873	366	[826,282,922,439]	-707,55	-431,6					1822,91	1038	
2	2	1	0	4	41	1642	337	[1579,287,1702,403]	-479,94	-424,85					1252,8	815	
2	2	1	0	4	42	1423	389	[1364,312,1543,443]	-537,45	-439,63					1376,35	736	
2	2	1	0	4	43	1272	422	[1216,324,1322,489]	-589,38	-446,52					1054,89	814	
2	2	1	0	4	44	220	513	[63,346,343,587]	-915,96	-466,76					1604,51	614	
2	2	1	0	4	45	1773	438	[1691,373,1858,508]	-440,44	-452,41					1213,05	659	
2	2	1	0	4	46	774	426	[718,369,845,480]	-735,58	-453,18					2458,48	1019	
2	2	1	0	4	47	2120	473	[2047,374,2159,523]	-335,97	-460,28					1061,98	416	
2	2	1	0	4	48	310	455	[233,390,370,514]	-878,54	-458,77					1478,03	875	
2	2	1	0	4	49	977	472	[894,418,1053,539]	-678,78	-465,6					2441,44	1215	
2	2	1	0	4	50	1604	461	[1526,422,1647,507]	-493,85	-462,29					1589,66	837	
2	2	1	0	4	51	668	488	[619,431,719,540]	-768,68	-469,76					2091,04	1088	
2	2	1	0	4	52	419	522	[363,459,486,590]	-844,93	-480,34					2225,37	1102	
2	2	1	0	4	53	1143	529	[1098,478,1189,584]	-627,33	-480,17					1758,07	1026	
2	2	1	0	4	54	1041	529	[974,464,1086,576]	-659,44	-481,01					1690,74	1098	
2	2	1	0	4	55	913	563	[792,509,1010,623]	-700,86	-492,84					2314,15	974	
2	2	1	0	4	56	1324	597	[1253,521,1382,692]	-574,84	-502,71					2068,81	1386	
2	2	1	0	4	57	745	587	[617,534,804,651]	-752,98	-497,42					2450,46	1094	
2	2	1	0	4	58	545	594	[496,544,594,648]	-806,71	-500,75					2153,82	1241	
2	2	1	0	4	59	458	631	[409,543,535,688]	-828,77	-511,27					1836,4	1057	
2	2	1	0	4	60	2027	599	[1953,537,2149,665]	-358,7	-502,08					1033,12	548	
2	2	1	0	4	61	308	658	[137,555,374,702]	-890,05	-515,74					1877,9	737	
2	2	1	0	4	62	1507	618	[1459,551,1583,670]	-515,78	-505,46					1679,5	1165	
2	2	1	0	4	63	1120	636	[1045,566,1179,724]	-634,23	-514,63					1768,83	1042	
2	2	1	0	4	64	1713	652	[1656,576,1779,719]	-455,68	-516,42					1581,07	1021	
2	2	1	0	4	65	627	648	[555,602,713,705]	-780,68	-517,76					1989,51	1014	
2	2	1	0	4	66	1009	649	[930,599,1080,706]	-666,92	-518,59					2101,77	1093	
2	2	1	0	4	67	43	681	[0,612,95,751]	-956,22	-527,41					1448,94	650	
2	2	1	0	4	68	882	675	[816,628,964,727]	-702,09	-525,56					2055,79	1055	
2	2	1	0	4	69	677	740	[629,658,743,802]	-763,04	-541,98					1524,04	967	
2	2	1	0	4	70	829	731	[753,673,893,780]	-723,66	-540,97					1586,3	942	
2	2	1	0	4	71	1917	747	[1868,681,1983,799]	-394,47	-543,55					1243,61	740	
2	2	1	0	4	72	1563	762	[1502,695,1629,842]	-503	-549,85					1903,69	867	
2	2	1	0	4	73	1063	773	[929,699,1173,841]	-655,47	-550,68					2133,18	1029	
2	2	1	0	4	74	36	800	[0,726,77,845]	-959,68	-562,79					1957,19	825	
2	2	1	0	4	75	1462	773	[1402,708,1516,851]	-532,87	-555,29					2047,94	1211	
2	2	1	0	4	76	732	808	[678,719,799,879]	-748,6	-562,39					2401,21	1020	
2	2	1	0	4	77	1301	783	[1227,711,1359,845]	-582,15	-557,21					1190,06	918	
2	2	1	0	4	78	264	801	[183,746,328,852]	-891,35	-561,81					2336,93	928	
2	2	1	0	4	79	1873	846	[1805,742,2012,934]	-404,05	-574,31					2247,3	879	
2	2	1	0	4	80	2091	783	[1928,746,2159,844]	-356,53	-559,38					1340,4	692	
2	2	1	0	4	81	133	813	[53,736,213,880]	-928,56	-570,7					2144,11	792	
2	2	1	0	4	82	829	822	[779,774,891,871]	-720,09	-568,39					2259,54	1120	
2	2	1	0	4	83	1616	843	[1550,770,1770,901]	-476,48	-571,75					1773,35	943	
2	2	1	0	4	84	914	836	[852,786,959,894]	-697,79	-575,38					2277,62	1332	
2	2	1	0	4	85	1103	868	[1051,815,1157,944]	-639,41	-584,49					2118,13	1269	
2	2	1	0	4	86	569	794	[385,690,693,986]	-813,5	-570,27					2612,55	917	
2	2	1	0	4	87	1785	884	[1742,823,1822,935]	-435,44	-584,57					2270,86	1408	
2	2	1	0	4	88	997	900	[913,835,1056,957]	-671,64	-592,24					2166,24	1097	
2	2	1	0	4	89	1407	908	[1338,824,1500,1016]	-546,65	-594,41					1779,83	1012	
2	2	1	0	4	90	2089	877	[1996,838,2159,933]	-346,85	-586,19					1212,52	782	
2	2	1	0	4	91	1540	900	[1489,842,1590,970]	-508,84	-593,09					2074,6	895	
2	2	1	0	4	92	785	901	[696,863,859,943]	-735,18	-592,34					2228,14	1168	
2	2	1	0	4	93	181	923	[94,858,264,978]	-914,24	-598,88					1655,63	804	
2	2	1	0	4	94	1294	917	[1241,868,1343,975]	-583,33	-599,28					1825,11	1015	
2	2	1	0	4	95	605	927	[557,879,660,971]	-787,98	-600,38					1956,1	1079	
2	2	1	0	4	96	53	983	[0,877,122,1052]	-953,62	-613,22					1951,25	753	
2	2	1	0	4	97	1743	954	[1670,886,1804,1050]	-447,26	-609,73					2015,51	951	
2	2	1	0	4	98	1187	953	[1135,893,1259,1002]	-611,52	-607,11					2050,74	1010	
