Database Name	Operetta CLS
Database Location	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	8b82562c-8103-4e1a-9d8f-fa87b04ad1b9
Plate Name	2023-04-27-OPP
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cells - Intensity Cell 5-TAMRA Mean - Mean per Well	Cells - Intensity Cell 5-TAMRA Mean - StdDev per Well	Cells - Intensity Cell 5-TAMRA Mean - Sum per Well	Cells - Intensity Cell 5-TAMRA Mean - Max per Well	Cells - Intensity Cell 5-TAMRA Mean - Min per Well	Cells - Intensity Cell 5-TAMRA Mean - Median per Well	Cells - Intensity Cell 5-TAMRA Minimum - Mean per Well	Cells - Intensity Cell 5-TAMRA Minimum - StdDev per Well	Cells - Intensity Cell 5-TAMRA Minimum - Sum per Well	Cells - Intensity Cell 5-TAMRA Minimum - Max per Well	Cells - Intensity Cell 5-TAMRA Minimum - Min per Well	Cells - Intensity Cell 5-TAMRA Minimum - Median per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	2	1	0	1743,13549955	490,700401303	1514784,74911	3474,76929733	568,035043007	1705,67268607	880,057537399	232,95188266	764770	2147	248	887	5	3	0	0					
2	3	1	0	1869,95561279	522,359052644	1499704,40146	3726,29049296	557,218491124	1858,38599988	990,519950125	252,61261115	794397	1733	252	1002	5	3	0	0					
2	4	1	0	1992,14404106	633,232828676	1159427,8319	4469,76032389	525,704965121	1904,34103345	927,369415808	233,572750779	539729	1576	272	973,5	5	3	0	0					
2	5	1	0	2286,55802439	651,766437527	1790374,9331	4570,01438021	679,43635858	2275,26098752	1010,34610473	270,705569536	791101	1942	268	1052	5	3	0	0					
2	6	1	0	2474,56388212	766,051304118	1625788,47055	5495,89186703	831,772198777	2416,40664121	1028,86149163	266,042554579	675962	1817	288	1071	5	3	0	0					
2	7	1	0	2457,98988185	888,682372973	1066767,60872	6474,19454172	595,799147649	2380,71532428	949,569124424	264,35318433	412113	2021	240	998	5	3	0	0					
2	8	1	0	2056,47632882	573,257059299	1766513,16646	3936,61237814	563,355765217	2044,5404723	1095,1548312	273,462944157	940738	1896	293	1138	5	3	0	0					
2	9	1	0	2115,14131968	601,956165076	1833827,52416	3989,47456802	447,112767781	2117,62536846	1099,35986159	312,077619814	953145	2582	308	1126	5	3	0	0					
2	10	1	0	2160,6205867	617,890768159	1622626,06061	4576,70557377	575,709653827	2153,51591775	1024,38482024	287,767095147	769313	1893	275	1049	5	3	0	0					
2	11	1	0	1453,23773057	399,122603336	916993,007992	2779,86104162	518,321507295	1446,27301677	763,058637084	199,828445591	481490	1364	270	797	5	3	0	0					
3	2	1	0	1363,43466693	370,692662728	635360,554789	2470,94138387	473,382477521	1357,68341225	798,845493562	198,426047954	372262	1306	220	846	5	3	0	0					
3	3	1	0	1340,69160208	319,743685804	827206,718486	2972,2867942	404,495852687	1352,89521933	835,517017828	196,272984721	515514	1281	285	899	5	3	0	0					
3	4	1	0	1145,10438191	254,308968201	246197,442111	1920,32315925	432,41015194	1191,02629004	769,851162791	172,451364364	165518	1006	275	820	5	3	0	0					
3	5	1	0	2457,30097964	722,299035707	1548099,61717	5642,36584447	496,836810027	2459,52956579	1024,47142857	274,085926977	645417	1931	256	1065	5	3	0	0					
3	6	1	0	2705,11117804	819,021901825	1701514,93099	5549,82867495	722,763811049	2687,60546416	1024,46740859	265,216401793	644390	1848	299	1093	5	3	0	0					
3	7	1	0	1923,23893336	615,938887752	201940,088003	4131,44255254	678,232787573	1990,63314562	898,733333333	193,931503901	94367	1310	339	934	5	3	0	0					
3	8	1	0	1625,46264499	399,573475668	1128071,07562	2915,37733317	525,770487994	1661,50273003	969,78962536	234,738254298	673034	1598	290	1031,5	5	3	0	0					
3	9	1	0	1631,97540944	421,619523802	1209293,77839	3366,08860087	535,09039751	1658,35037577	930,403508772	244,333744809	689429	1979	265	973	5	3	0	0					
3	10	1	0	1363,30426605	306,885900446	256301,202018	2077,2556391	544,46467629	1397,52018979	846,925531915	177,255411923	159222	1182	285	884,5	5	3	0	0					
3	11	1	0	1634,7032747	441,485394726	1293050,29029	4169,18145781	447,847601129	1627,44007921	892,264222503	223,157586873	705781	1588	244	934	5	3	0	0					
4	2	1	0	1325,84842019	317,353639997	963891,801475	2383,80395118	448,591120039	1374,56715672	829,214580468	205,084530464	602839	1281	256	874	5	3	0	0					
4	3	1	0	1311,32823884	287,651232546	1185440,72791	2136,09421365	453,93096932	1365,06005369	848,78539823	200,599026416	767302	1408	243	899,5	5	3	0	0					
4	4	1	0	1226,92869427	306,338027401	269924,312739	2295,13299219	459,887397665	1263,05851097	751,190909091	184,874929731	165262	1145	259	803	5	3	0	0					
4	5	1	0	2214,32162634	579,861066427	1607597,50073	4287,49313622	792,411253883	2237,58512695	992,951790634	249,390360991	720883	1975	293	1027	5	3	0	0					
4	6	1	0	2243,33026176	656,467866929	1485084,63329	4663,41027203	565,688937257	2263,40021326	993,578549849	259,122642285	657749	1597	274	1065	5	3	0	0					
4	7	1	0	2265,75945631	641,717087436	913101,060892	4798,42395177	588,069232295	2258,94142046	1012,66253102	228,868730458	408103	1472	306	1080	5	3	0	0					
4	8	1	0	1658,5736454	434,642277319	1144415,81532	3162,96540162	525,192554557	1716,26234018	934,453623188	242,770717372	644773	1546	257	986,5	5	3	0	0					
4	9	1	0	1561,52017111	360,219944049	1461582,88016	2581,07244517	499,229835446	1603,13170428	970,74465812	232,128643048	908617	1617	269	1029	5	3	0	0					
4	10	1	0	1410,84192749	379,172960849	495205,516549	2728,32756746	509,130565068	1441,90946702	802,111111111	204,416190767	281541	1504	266	849	5	3	0	0					
4	11	1	0	902,918384127	171,83638489	897500,873822	1266,57786825	322,237907206	954,572571916	718,673038229	163,98787424	714361	967	228	768	5	3	0	0					
5	2	1	0	1347,60116686	306,229274661	1136027,78366	2333,68254637	457,098396121	1368,96086896	860,93594306	207,095226759	725769	1345	236	907	5	3	0	0					
5	3	1	0	1325,52450556	309,194392447	1055117,50642	2514,85866627	450,429412552	1353,91001926	857,094221106	198,508083049	682247	1707	248	908,5	5	3	0	0					
5	4	1	0	1236,85810933	313,91179668	257266,486741	1925,64975435	376,242152466	1298,3114198	773,947115385	198,226708865	160981	1131	246	837,5	5	3	0	0					
5	5	1	0	1669,33594031	360,921900386	1403911,5258	2591,90770778	604,485188592	1727,18237581	951,133174792	221,561608879	799903	1544	289	1002	5	3	0	0					
5	6	1	0	1764,92485507	393,318569444	1657264,43891	2842,0416004	523,50996852	1850,93732018	1006,78487753	242,48234839	945371	1548	308	1068	5	3	0	0					
5	7	1	0	1474,47847535	338,988804672	373043,054264	2335,41109951	473,720112782	1528,86093801	849,877470356	196,530271524	215019	1272	281	885	5	3	0	0					
5	8	1	0	1588,23806692	363,749786333	1473884,92611	4351,54162103	544,822197802	1623,21212747	1003,50107759	237,486469265	931249	1698	299	1061,5	5	3	0	0					
5	9	1	0	1491,78622301	332,996521851	1387361,18739	2660,25577157	349,425250924	1541,72483219	978,279569892	223,944449785	909800	1544	248	1035	5	3	0	0					
5	10	1	0	1315,75881644	330,065085082	617090,88491	2319,31664844	468,825499184	1349,24029757	801,33901919	199,988680748	375828	1551	230	842	5	3	0	0					
5	11	1	0	925,780941442	190,728706096	665636,496897	1387,84005834	326,870065789	980,983219717	728,792767733	182,247842063	524002	978	209	787	5	3	0	0					
6	2	1	0	1638,77136498	399,17118749	1791177,10192	2985,39214632	480,103933747	1655,78790614	968,688929552	230,24585569	1058777	1686	273	1003	5	3	0	0					
6	3	1	0	1524,86318268	369,248434354	1378476,31715	2675,15716697	501,81658895	1558,43741361	908,853982301	221,673901561	821604	1592	290	952	5	3	0	0					
6	4	1	0	1403,22753924	352,653039407	639871,757892	2523,41636364	485,121344538	1404,31834197	815,530701754	193,816042669	371882	1353	259	861	5	3	0	0					
6	5	1	0	1766,48937472	387,697236809	1907808,5247	2833,09753593	589,4121897	1850,3273693	1022,10555556	245,804555465	1103874	2067	278	1074	5	3	0	0					
6	6	1	0	1781,94217337	405,106496111	1507523,07867	3007,14870075	554,310019702	1842,38665997	966,178486998	227,928064144	817387	1481	278	1020,5	5	3	0	0					
6	7	1	0	1726,4811251	452,814557357	749292,808294	3195,35933002	402,687964048	1749,77587538	863,804147465	210,319576216	374891	1352	244	920,5	5	3	0	0					
6	8	1	0	1852,78961084	431,164237027	1789794,76407	3224,8888444	638,600802171	1885,29977613	1055,22463768	253,691392331	1019347	1863	284	1097,5	5	3	0	0					
6	9	1	0	1658,61362649	399,915364448	1363380,40098	3034,78594887	546,922759116	1690,08796421	962,698296837	232,606402192	791338	1602	275	1009	5	3	0	0					
6	10	1	0	1510,341369	366,432238546	785377,511881	2635,91527483	503,066767068	1546,85433899	865,505769231	210,376769923	450063	1490	248	919	5	3	0	0					
6	11	1	0	905,156544664	178,618782868	861709,03052	1121,57672801	368,636586516	961,654906802	727,157563025	173,509225946	692254	954	228	779	5	3	0	0					
