Database Name	Operetta CLS
Database Location	http://sv-01-366/ODA/OdaService.asmx
Evaluation Signature	03d1efbf-04cf-41ce-9f83-e1e9cbc1c15d
Plate Name	OPP_6hstarvation_04.08.23
Measurement	Measurement 1
Evaluation	Evaluation1

[Data]
Row	Column	Plane	Timepoint	Cells - Intensity Cell 5-TAMRA Mean - Mean per Well	Cells - Intensity Cell 5-TAMRA Mean - StdDev per Well	Cells - Intensity Cell 5-TAMRA Mean - Sum per Well	Cells - Intensity Cell 5-TAMRA Mean - Max per Well	Cells - Intensity Cell 5-TAMRA Mean - Min per Well	Cells - Intensity Cell 5-TAMRA Mean - Median per Well	Cells - Intensity Cell 5-TAMRA Minimum - Mean per Well	Cells - Intensity Cell 5-TAMRA Minimum - StdDev per Well	Cells - Intensity Cell 5-TAMRA Minimum - Sum per Well	Cells - Intensity Cell 5-TAMRA Minimum - Max per Well	Cells - Intensity Cell 5-TAMRA Minimum - Min per Well	Cells - Intensity Cell 5-TAMRA Minimum - Median per Well	Number of Analyzed Fields	Global Image Binning	Height [µm]	Time [s]	Compound	Concentration	Cell Type	Cell Count	
2	2	1	0	981,63156883	281,074083772	1910255,03294	2262,32137887	328,564260826	967,808117819	449,340698869	106,920880141	874417	906	135	458	9	3	0	0					
2	3	1	0	946,63326238	300,981677946	760146,509691	2389,95129188	248,125447387	922,129947866	465,212951432	130,78106329	373566	1047	131	463	9	3	0	0					
2	4	1	0	1000,83976712	355,918698182	1062891,83268	3208,31525077	280,140490602	933,054826991	499,661016949	203,731004772	530640	1640	152	466	9	3	0	0					
2	5	1	0	947,748598237	364,147748982	823593,531868	3896,98742604	292,386675594	906,738523761	486,844649022	213,85034505	423068	2335	156	475	9	3	0	0					
2	6	1	0	958,386122264	310,785756405	637326,771306	2981,97932282	310,206936924	919,45185343	485,245112782	175,757881478	322688	1726	164	477	9	3	0	0					
2	7	1	0	938,067791314	287,061935036	602239,522024	2508,97919807	268,702925046	924,015065928	477,021806854	148,269348942	306248	1374	157	475	9	3	0	0					
2	8	1	0	927,96828249	251,108977804	681128,719348	2008,81716287	346,559245283	903,555139817	470,645776567	109,040487755	345454	821	171	480,5	9	3	0	0					
2	9	1	0	1187,69980304	431,704606773	1367042,4733	3451,43859649	292,487529535	1112,15663779	546,985230235	221,828936735	629580	2288	161	515	9	3	0	0					
2	10	1	0	1287,40031845	1294,50783696	901180,222918	29354,9549194	257,629020005	1132,72343894	607,534285714	607,522151674	425274	14754	157	513	9	3	0	0					
2	11	1	0	1093,66131182	370,51602204	641979,190041	2581,84453661	318,78858351	1053,02680042	470,206132879	126,257051693	276011	1327	124	471	9	3	0	0					
3	2	1	0	826,870035081	246,259919737	893846,507923	2472,63100821	314,046657694	811,661813269	434,633672525	146,230921308	469839	1613	129	432	9	3	0	0					
3	3	1	0	841,909108777	233,459070635	740038,106615	2009,0862069	321,290855207	832,696886546	458,526734926	126,370559712	403045	1317	149	461	9	3	0	0					
3	4	1	0	883,142618301	241,172530678	822205,777638	2403,48677043	242,484798492	874,180915848	486,236305048	141,068144949	452686	1711	158	494	9	3	0	0					
3	5	1	0	890,910045466	265,535175267	891800,955512	2487,07668404	317,034989066	866,877182155	477,69030969	148,483945247	478168	1579	158	480	9	3	0	0					
3	6	1	0	1107,14225896	362,280561034	987570,894993	3374,20993837	255,587252235	1078,66866928	497,471973094	194,637059863	443745	1748	175	482,5	9	3	0	0					
3	7	1	0	1088,49841027	310,944064186	1052577,96273	2434,61924455	327,009496868	1073,4111346	474,426059979	125,882189095	458770	1394	154	486	9	3	0	0					
3	8	1	0	1059,77627643	348,224613104	923065,136773	3023,02850737	251,698993851	1027,97796222	470,543053961	168,743225102	409843	1496	139	461	9	3	0	0					
3	9	1	0	730,254292625	171,508728767	791595,653206	1529,85297185	304,286264318	735,00801414	412,376383764	93,003869276	447016	652	102	432,5	9	3	0	0					
3	10	1	0	734,727584952	186,494632803	772933,41937	1702,85342193	279,144147488	741,487370008	403,985741445	93,7916430119	424993	701	147	421	9	3	0	0					
3	11	1	0	781,549505873	214,035314483	567404,941264	2214,81864473	269,840923466	763,718399048	437,468319559	123,791698075	317602	1186	145	440,5	9	3	0	0					
4	2	1	0	860,695946954	284,173826071	911477,007824	2925,64128	316,126664268	835,872507017	484,196411709	169,239847102	512764	1726	180	484	9	3	0	0					
4	3	1	0	809,022316179	239,524788802	982962,114158	2667,57494361	302,554158035	793,654442091	446,441975309	122,624255844	542427	1224	144	452	9	3	0	0					
4	4	1	0	945,59196721	282,631090502	1487416,16442	3577,79248862	231,54770318	921,740143369	504,019707565	170,745104857	792823	2254	145	499	9	3	0	0					
4	5	1	0	891,723475961	254,908508966	1068284,7242	2960,49176218	265,496942746	883,374657064	466,780467446	156,950043036	559203	1936	148	474	9	3	0	0					
4	6	1	0	1169,17478698	292,477396389	1599431,10859	2569,54532743	398,064728325	1178,74237974	505,796783626	127,865629641	691930	1251	149	512	9	3	0	0					
4	7	1	0	1172,26014837	292,580532666	1484081,34783	2620,14967041	353,334906721	1178,0073371	506,658767773	154,639702595	641430	1594	146	507	9	3	0	0					
4	8	1	0	1114,98225302	281,990546829	1315679,05857	2127,78043231	320,631830727	1112,09759878	479,976271186	123,577645838	566372	1070	123	487	9	3	0	0					
