Time	Ctrl_1	Val_1	Triple_1	Leu_1	Ile_1	Double_1
0	-0.1524	-0.155	-0.1509	-0.1555	-0.1477	-0.1525
0.017	-0.1641	-0.1742	-0.1682	-0.1694	-0.1679	-0.1656
0.033	-0.1736	-0.1871	-0.1815	-0.1835	-0.1766	-0.1771
0.05	-0.1826	-0.196	-0.193	-0.1948	-0.1854	-0.1863
0.067	-0.1902	-0.2042	-0.2017	-0.2016	-0.1942	-0.1922
0.083	-0.1956	-0.2101	-0.208	-0.2066	-0.2009	-0.197
0.1	-0.2004	-0.2144	-0.2124	-0.2106	-0.2063	-0.2014
0.117	-0.2049	-0.2174	-0.2157	-0.2141	-0.2102	-0.2058
0.133	-0.2086	-0.2196	-0.2181	-0.2167	-0.2136	-0.2085
0.15	-0.2114	-0.2213	-0.2203	-0.2189	-0.2166	-0.2101
0.167	-0.2141	-0.2228	-0.2222	-0.2207	-0.219	-0.212
0.183	-0.2163	-0.224	-0.2235	-0.2224	-0.2209	-0.214
0.2	-0.2176	-0.2249	-0.2248	-0.2236	-0.2223	-0.2155
0.217	-0.2188	-0.2257	-0.2259	-0.2247	-0.2238	-0.2164
0.233	-0.2201	-0.2265	-0.2268	-0.2255	-0.2252	-0.2169
0.25	-0.2213	-0.2271	-0.2275	-0.2261	-0.2261	-0.2173
0.267	-0.2219	-0.2275	-0.2281	-0.2264	-0.2266	-0.2172
0.283	-0.2223	-0.2276	-0.2286	-0.2259	-0.2271	-0.2165
0.3	-0.2225	-0.2274	-0.2289	-0.2254	-0.2275	-0.2152
0.317	-0.2227	-0.2263	-0.2292	-0.2247	-0.2279	-0.2141
0.333	-0.2227	-0.2241	-0.2293	-0.2231	-0.2281	-0.2121
0.35	-0.2223	-0.2208	-0.2288	-0.2199	-0.2279	-0.2103
0.367	-0.2213	-0.217	-0.2274	-0.2159	-0.2272	-0.2081
0.383	-0.2194	-0.2135	-0.225	-0.2118	-0.226	-0.2062
0.4	-0.2169	-0.2107	-0.2218	-0.2082	-0.2242	-0.2051
0.417	-0.2141	-0.2089	-0.2183	-0.2055	-0.2222	-0.2052
0.433	-0.2116	-0.2082	-0.2148	-0.2041	-0.2201	-0.2055
0.45	-0.2096	-0.2087	-0.2119	-0.2041	-0.2181	-0.2066
0.467	-0.2084	-0.2105	-0.2098	-0.2053	-0.2161	-0.2084
0.483	-0.2079	-0.2134	-0.209	-0.2077	-0.2146	-0.2107
0.5	-0.2081	-0.2171	-0.2095	-0.211	-0.2135	-0.2134
0.517	-0.209	-0.2209	-0.2111	-0.2146	-0.2128	-0.2166
0.533	-0.2106	-0.2244	-0.2139	-0.2182	-0.2126	-0.2193
0.55	-0.2128	-0.2271	-0.2176	-0.2214	-0.2131	-0.2213
0.567	-0.2153	-0.229	-0.2215	-0.2239	-0.2144	-0.2229
0.583	-0.218	-0.2304	-0.2249	-0.2258	-0.2162	-0.2241
0.6	-0.2204	-0.2314	-0.2276	-0.2274	-0.2185	-0.2248
0.617	-0.2226	-0.2321	-0.2295	-0.2286	-0.2209	-0.2254
0.633	-0.2246	-0.2326	-0.2309	-0.2297	-0.2233	-0.226
0.65	-0.2261	-0.2329	-0.2319	-0.2305	-0.2254	-0.2263
0.667	-0.2272	-0.2329	-0.2325	-0.231	-0.2271	-0.226
0.683	-0.2282	-0.2324	-0.233	-0.2311	-0.2284	-0.2254
0.7	-0.229	-0.2314	-0.2332	-0.2304	-0.2294	-0.2244
0.717	-0.2296	-0.2296	-0.2332	-0.2289	-0.2301	-0.2226
0.733	-0.2298	-0.2271	-0.2329	-0.2263	-0.2305	-0.2202
0.75	-0.2296	-0.2238	-0.232	-0.2227	-0.2306	-0.2172
0.767	-0.2284	-0.2198	-0.2304	-0.2183	-0.2302	-0.2136
0.783	-0.2266	-0.215	-0.2282	-0.213	-0.2293	-0.2098
0.8	-0.2242	-0.2102	-0.2252	-0.2073	-0.2279	-0.2061
0.817	-0.2211	-0.2058	-0.2214	-0.2018	-0.226	-0.203
0.833	-0.2174	-0.2026	-0.2167	-0.1975	-0.2236	-0.2008
0.85	-0.2135	-0.2012	-0.2114	-0.1951	-0.2208	-0.1997
0.867	-0.2096	-0.2016	-0.2062	-0.1947	-0.2177	-0.1999
0.883	-0.2059	-0.2038	-0.2019	-0.1962	-0.2146	-0.2012
0.9	-0.2031	-0.2071	-0.1991	-0.1993	-0.2117	-0.2038
0.917	-0.2015	-0.2112	-0.1981	-0.2034	-0.2092	-0.2072
0.933	-0.2012	-0.2153	-0.199	-0.2077	-0.2074	-0.211
0.95	-0.2021	-0.2188	-0.2015	-0.2119	-0.2066	-0.2145
0.967	-0.2042	-0.2216	-0.2053	-0.2155	-0.2066	-0.2175
0.983	-0.207	-0.2237	-0.2099	-0.2184	-0.2076	-0.2201
1	-0.2102	-0.2253	-0.2144	-0.2206	-0.2094	-0.2221
1.017	-0.2135	-0.2264	-0.2184	-0.2222	-0.2118	-0.2234
1.033	-0.2166	-0.2269	-0.2216	-0.2234	-0.2145	-0.2239
1.05	-0.2193	-0.2268	-0.2239	-0.224	-0.2173	-0.2235
1.067	-0.2214	-0.2253	-0.2254	-0.2234	-0.22	-0.2215
1.083	-0.2231	-0.2208	-0.2264	-0.2204	-0.2222	-0.2173
1.1	-0.2244	-0.2122	-0.2269	-0.2135	-0.2238	-0.2107
1.117	-0.2252	-0.2001	-0.2263	-0.2026	-0.2249	-0.2022
1.133	-0.2255	-0.187	-0.2236	-0.1904	-0.2253	-0.1932
1.15	-0.2249	-0.1758	-0.2171	-0.1798	-0.225	-0.1851
1.167	-0.2229	-0.1683	-0.2064	-0.1728	-0.2237	-0.1789
1.183	-0.2191	-0.1659	-0.1924	-0.17	-0.2212	-0.1756
1.2	-0.2139	-0.1689	-0.1779	-0.1714	-0.2179	-0.1756
1.217	-0.2086	-0.1762	-0.1659	-0.1762	-0.2147	-0.1789
1.233	-0.2039	-0.1857	-0.1584	-0.1829	-0.2132	-0.1845
1.25	-0.2005	-0.1948	-0.1565	-0.1899	-0.2099	-0.191
1.267	-0.1985	-0.2021	-0.1602	-0.1962	-0.2041	-0.1973
1.283	-0.1982	-0.2073	-0.1683	-0.2012	-0.2005	-0.2029
1.3	-0.1993	-0.2109	-0.1789	-0.2049	-0.1988	-0.2073
1.317	-0.2015	-0.2137	-0.1891	-0.2079	-0.199	-0.2106
1.333	-0.2043	-0.2159	-0.1975	-0.2106	-0.2007	-0.2131
1.35	-0.2074	-0.2179	-0.2039	-0.2131	-0.2036	-0.2152
1.367	-0.2101	-0.2197	-0.2088	-0.2154	-0.2071	-0.2172
1.383	-0.2122	-0.2213	-0.2124	-0.2175	-0.2106	-0.219
1.4	-0.2139	-0.2226	-0.2152	-0.2191	-0.2137	-0.2205
1.417	-0.2153	-0.2236	-0.2175	-0.2204	-0.2161	-0.2217
1.433	-0.2166	-0.2244	-0.2195	-0.2217	-0.2179	-0.2228
1.45	-0.2179	-0.2251	-0.2211	-0.2228	-0.2194	-0.2237
1.467	-0.2192	-0.2256	-0.2224	-0.2238	-0.2208	-0.2243
1.483	-0.2206	-0.226	-0.2235	-0.2245	-0.2221	-0.2249
1.5	-0.2218	-0.2263	-0.2244	-0.2251	-0.2234	-0.2254
1.517	-0.2228	-0.2265	-0.2252	-0.2255	-0.2245	-0.2259
1.533	-0.2237	-0.2267	-0.2258	-0.2258	-0.2255	-0.2261
1.55	-0.2244	-0.2267	-0.2264	-0.226	-0.2263	-0.2263
1.567	-0.225	-0.2268	-0.2268	-0.2262	-0.227	-0.2264
1.583	-0.2254	-0.2269	-0.227	-0.2263	-0.2275	-0.2266
