Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	0,3876	0,47			
0,017	0,3879	0,47			
0,033	0,3874	0,47			
0,050	0,3833	0,45			
0,067	0,3777	0,47			
0,083	0,3758	0,47			
0,100	0,3738	0,47			
0,117	0,3764	5,65			
0,133	0,3181	15,37			
0,150	0,2483	18,95			
0,167	0,2736	19,84			
0,183	0,2857	19,97			
0,200	0,1749	17,14			
0,217	0,1302	6,11			
0,233	0,0854	2,27			
0,250	0,0426	3,76			
0,267	0,0082	10,67			
0,283	-0,0309	19,87			
0,300	-0,0682	21,77			
0,317	-0,0891	22,12			
0,333	-0,0917	22,13			
0,350	-0,0986	22,10			
0,367	-0,1124	21,98			
0,383	-0,1282	21,85			
0,400	-0,1428	21,65			
0,417	-0,1581	21,51			
0,433	-0,1685	21,38			
0,450	-0,1756	21,21			
0,467	-0,1814	21,06			
0,483	-0,1866	20,88			
0,500	-0,1916	20,73			
0,517	-0,1968	20,58			
0,533	-0,2014	20,42			
0,550	-0,2052	20,20			
0,567	-0,2085	20,02			
0,583	-0,2115	19,90			
0,600	-0,2141	19,77			
0,617	-0,2163	19,62			
0,633	-0,2180	19,50			
0,650	-0,2190	19,38			
0,667	-0,2202	19,27			
0,683	-0,2213	19,15			
0,700	-0,2222	19,09			
0,717	-0,2226	18,99			
0,733	-0,2222	18,89			
0,750	-0,2209	18,80			
0,767	-0,2185	18,70			
0,783	-0,2157	18,62			
0,800	-0,2130	18,54			
0,817	-0,2109	18,45			
0,833	-0,2094	18,35			
0,850	-0,2088	18,27			
0,867	-0,2064	18,19			
0,883	-0,2031	18,10			
0,900	-0,2034	18,07			
0,917	-0,2110	18,02			
0,933	-0,2145	15,57			
0,950	-0,2175	15,33			
0,967	-0,2202	11,75			
0,983	-0,2224	11,00			
1,000	-0,2244	16,85			
1,017	-0,2258	17,48			
1,033	-0,2270	17,58			
1,050	-0,2278	17,55			
1,067	-0,2287	17,50			
1,083	-0,2292	17,45			
1,100	-0,2297	17,38			
1,117	-0,2297	17,30			
1,133	-0,2288	17,23			
1,150	-0,2272	17,24			
1,167	-0,2250	17,19			
1,183	-0,2226	17,14			
1,200	-0,2195	17,08			
1,217	-0,2159	17,01			
1,233	-0,2123	16,98			
1,250	-0,2093	16,93			
1,267	-0,2072	16,88			
1,283	-0,2063	16,81			
1,300	-0,2069	11,03			
1,317	-0,2085	12,93			
1,333	-0,2109	16,15			
1,350	-0,2139	16,57			
1,367	-0,2169	16,58			
1,383	-0,2196	16,55			
1,400	-0,2218	16,52			
