Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	-0,2231	0,49			
0,017	-0,1903	0,49			
0,033	-0,1725	0,49			
0,050	-0,1854	0,47			
0,067	-0,2029	0,49			
0,083	-0,2146	0,49			
0,100	-0,2204	0,49			
0,117	-0,2235	0,49			
0,133	-0,2251	0,49			
0,150	-0,2053	0,49			
0,167	0,0628	0,49			
0,183	0,3344	0,49			
0,200	0,4214	0,47			
0,217	0,4120	0,47			
0,233	0,4028	0,49			
0,250	0,3884	0,47			
0,267	0,3718	0,47			
0,283	0,3540	4,34			
0,300	0,3377	14,10			
0,317	0,3274	17,73			
0,333	0,3195	18,84			
0,350	0,3063	19,35			
0,367	0,2898	19,70			
0,383	0,2750	19,92			
0,400	0,2556	20,14			
0,417	0,2312	20,34			
0,433	0,2105	20,56			
0,450	0,1892	20,78			
0,467	0,1664	20,91			
0,483	0,1387	20,99			
0,500	0,1060	21,06			
0,517	0,0749	21,16			
0,533	0,0448	21,21			
0,550	0,0108	21,21			
0,567	-0,0269	21,21			
0,583	-0,0604	21,18			
0,600	-0,0904	21,11			
0,617	-0,1158	21,04			
0,633	-0,1357	20,94			
0,650	-0,1525	20,89			
0,667	-0,1656	20,81			
0,683	-0,1771	20,72			
0,700	-0,1863	20,62			
0,717	-0,1922	20,49			
0,733	-0,1970	20,37			
0,750	-0,2014	20,25			
0,767	-0,2058	20,15			
0,783	-0,2085	20,05			
0,800	-0,2101	19,95			
0,817	-0,2120	19,85			
0,833	-0,2140	19,75			
0,850	-0,2155	19,67			
0,867	-0,2164	19,57			
0,883	-0,2169	19,47			
0,900	-0,2173	19,37			
0,917	-0,2172	19,32			
0,933	-0,2165	19,23			
0,950	-0,2152	19,13			
0,967	-0,2141	19,05			
0,983	-0,2121	18,95			
1,000	-0,2103	18,86			
1,017	-0,2081	18,76			
1,033	-0,2062	18,70			
1,050	-0,2051	18,61			
1,067	-0,2052	18,53			
1,083	-0,2055	18,43			
1,100	-0,2066	18,34			
1,117	-0,2084	18,26			
