Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	0,1104	0,59			
0,017	-0,0005	0,57			
0,033	-0,1207	0,57			
0,050	-0,1924	0,59			
0,067	-0,2289	0,57			
0,083	-0,2304	0,57			
0,100	-0,2307	0,57			
0,117	-0,2310	0,57			
0,133	-0,2309	0,57			
0,150	-0,2301	0,57			
0,167	-0,2235	0,55			
0,183	0,0269	0,55			
0,200	0,2783	0,55			
0,217	0,3692	0,55			
0,233	0,3577	0,55			
0,250	0,3494	0,54			
0,267	0,3415	0,55			
0,283	0,3323	0,55			
0,300	0,3241	4,72			
0,317	0,3146	14,95			
0,333	0,3103	18,78			
0,350	0,3071	19,85			
0,367	0,2997	20,25			
0,383	0,2847	20,40			
0,400	0,2635	20,45			
0,417	0,2347	20,49			
0,433	0,2033	20,52			
0,450	0,1682	20,59			
0,467	0,1301	20,69			
0,483	0,0931	20,75			
0,500	0,0493	20,80			
0,517	0,0015	20,85			
0,533	-0,0413	20,83			
0,550	-0,0758	20,83			
0,567	-0,1039	20,83			
0,583	-0,1259	20,82			
0,600	-0,1427	20,78			
0,617	-0,1580	20,75			
0,633	-0,1718	20,70			
0,650	-0,1830	20,62			
0,667	-0,1923	20,53			
0,683	-0,2003	20,45			
0,700	-0,2061	20,38			
0,717	-0,2104	20,30			
0,733	-0,2135	20,15			
0,750	-0,2157	20,08			
0,767	-0,2174	20,02			
0,783	-0,2188	19,95			
0,800	-0,2201	19,87			
0,817	-0,2215	19,82			
0,833	-0,2229	19,75			
0,850	-0,2239	19,68			
0,867	-0,2246	19,60			
0,883	-0,2252	19,55			
0,900	-0,2256	19,48			
0,917	-0,2259	19,42			
0,933	-0,2259	19,37			
0,950	-0,2252	19,30			
0,967	-0,2238	19,28			
0,983	-0,2214	19,23			
1,000	-0,2186	19,17			
1,017	-0,2157	19,10			
1,033	-0,2134	19,07			
1,050	-0,2115	19,02			
1,067	-0,2102	18,95			
1,083	-0,2098	18,92			
1,100	-0,2101	18,85			
1,117	-0,2112	18,80			
1,133	-0,2131	18,75			
1,150	-0,2156	18,70			
1,167	-0,2185	18,63			
1,183	-0,2215	18,58			
1,200	-0,2238	18,53			
1,217	-0,2256	18,47			
1,233	-0,2272	18,40			
1,250	-0,2285	18,33			
1,267	-0,2295	18,28			
1,283	-0,2303	18,22			
1,300	-0,2310	18,15			
1,317	-0,2314	18,12			
1,333	-0,2318	18,08			
1,350	-0,2319	18,01			
1,367	-0,2318	17,96			
1,383	-0,2312	17,90			
1,400	-0,2302	17,86			
1,417	-0,2288	17,86			
1,433	-0,2268	17,81			
1,450	-0,2242	17,73			
1,467	-0,2211	17,65			
1,483	-0,2178	17,60			
1,500	-0,2146	17,55			
1,517	-0,2121	17,46			
1,533	-0,2107	17,40			
1,550	-0,2105	17,36			
1,567	-0,2114	17,33			
1,583	-0,2132	17,30			
1,600	-0,2157	17,23			
1,617	-0,2184	17,16			
1,633	-0,2211	17,10			
1,650	-0,2236	17,05			
1,667	-0,2256	17,01			
1,683	-0,2270	16,96			
1,700	-0,2280	16,94			
1,717	-0,2288	16,86			
1,733	-0,2294	16,79			
1,750	-0,2296	16,74			
1,767	-0,2293	16,69			
1,783	-0,2278	16,64			
1,800	-0,2238	16,59			
1,817	-0,2169	16,52			
1,833	-0,2090	16,46			
1,850	-0,2021	16,41			
1,867	-0,1975	16,41			
1,883	-0,1955	16,34			
1,900	-0,1963	16,22			
1,917	-0,1994	16,12			
1,933	-0,2041	16,07			
1,950	-0,2093	16,01			
1,967	-0,2140	15,97			
1,983	-0,2175	15,96			
2,000	-0,2198	15,89			
2,017	-0,2214	15,80			
2,033	-0,2226	15,74			
2,050	-0,2235	15,69			
2,067	-0,2243	15,69			
2,083	-0,2252	15,64			
2,100	-0,2260	15,57			
2,117	-0,2268	15,52			
2,133	-0,2274	15,52			
2,150	-0,2280	15,47			
2,167	-0,2284	15,40			
2,183	-0,2287	15,34			
2,200	-0,2290	15,30			
2,217	-0,2292	15,27			
2,233	-0,2293	15,20			
2,250	-0,2294	15,14			
2,267	-0,2293	15,12			
2,283	-0,2292	15,10			
2,300	-0,2292	15,05			
2,317	-0,2293	14,99			
2,333	-0,2294	14,90			
2,350	-0,2295	14,83			
2,367	-0,2295	14,82			
2,383	-0,2294	14,77			
2,400	-0,2291	14,70			
2,417	-0,2287	14,65			
2,433	-0,2280	14,60			
2,450	-0,2270	14,55			
2,467	-0,2260	14,50			
2,483	-0,2251	14,47			
2,500	-0,2246	14,40			
2,517	-0,2244	14,32			
2,533	-0,2247	14,27			
2,550	-0,2252	14,22			
2,567	-0,2258	14,18			
2,583	-0,2264	14,12			
2,600	-0,2268	14,05			
2,617	-0,2269	13,98			
2,633	-0,2270	13,92			
2,650	-0,2270	13,87			
2,667	-0,2271	13,80			
2,683	-0,2271	13,77			
2,700	-0,2272	13,73			
2,717	-0,2273	13,67			
2,733	-0,2273	13,60			
2,750	-0,2273	13,53			
2,767	-0,2274	13,48			
2,783	-0,2275	13,45			
2,800	-0,2277	13,36			
2,817	-0,2277	13,28			
2,833	-0,2274	13,21			
2,850	-0,2265	13,16			
2,867	-0,2252	13,11			
2,883	-0,2237	13,04			
2,900	-0,2227	12,99			
2,917	-0,2224	12,91			
2,933	-0,2226	12,83			
2,950	-0,2231	12,76			
2,967	-0,2235	12,71			
2,983	-0,2237	12,64			
3,000	-0,2239	12,58			
3,017	-0,2241	12,51			
3,033	-0,2245	12,49			
3,050	-0,2248	12,44			
3,067	-0,2251	12,34			
3,083	-0,2253	12,27			
3,100	-0,2254	12,21			
3,117	-0,2254	12,17			
3,133	-0,2250	12,12			
3,150	-0,2240	12,04			
3,167	-0,2227	11,94			
3,183	-0,2214	11,85			
3,200	-0,2206	11,77			
3,217	-0,2205	11,72			
3,233	-0,2208	11,69			
3,250	-0,2212	11,60			
3,267	-0,2216	11,52			
3,283	-0,2219	11,44			
3,300	-0,2223	11,37			
3,317	-0,2226	11,30			
3,333	-0,2228	11,25			
3,350	-0,2227	11,20			
3,367	-0,2222	11,15			
3,383	-0,2214	11,08			
3,400	-0,2204	11,02			
3,417	-0,2196	10,93			
3,433	-0,2193	10,85			
3,450	-0,2193	10,76			
3,467	-0,2195	10,71			
3,483	-0,2198	10,65			
3,500	-0,2199	10,58			
3,517	-0,2197	10,48			
3,533	-0,2191	10,40			
3,550	-0,2183	10,29			
3,567	-0,2176	10,23			
3,583	-0,2172	10,14			
3,600	-0,2170	10,06			
3,617	-0,2170	9,96			
3,633	-0,2168	9,89			
3,650	-0,2163	9,79			
3,667	-0,2156	9,67			
3,683	-0,2151	9,57			
3,700	-0,2149	9,47			
3,717	-0,2146	9,37			
3,733	-0,2141	9,27			
3,750	-0,2136	9,17			
3,767	-0,2133	9,07			
3,783	-0,2129	8,94			
3,800	-0,2124	8,85			
3,817	-0,2120	8,75			
3,833	-0,2116	8,65			
3,850	-0,2113	8,55			
3,867	-0,2109	8,45			
3,883	-0,2106	8,37			
3,900	-0,2104	8,28			
3,917	-0,2101	8,18			
3,933	-0,2100	8,12			
3,950	-0,2099	8,03			
3,967	-0,2099	7,96			
3,983	-0,2099	7,90			
4,000	-0,2099	7,81			
4,017	-0,2100	7,71			
4,033	-0,2102	7,61			
4,050	-0,2104	7,53			
4,067	-0,2110	7,49			
4,083	-0,2121	7,43			
4,100	-0,2133	7,38			
4,117	-0,2142	7,29			
4,133	-0,2148	7,26			
4,150	-0,2154	7,24			
4,167	-0,2158	7,23			
4,183	-0,2161	7,18			
4,200	-0,2163	7,13			
4,217	-0,2165	7,11			
4,233	-0,2167	7,13			
4,250	-0,2168	7,09			
4,267	-0,2169	7,08			
4,283	-0,2170	7,04			
