Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	-0,2288	0,72			
0,017	-0,2043	0,72			
0,033	-0,2027	0,72			
0,050	-0,2134	0,72			
0,067	-0,2279	0,70			
0,083	-0,2232	0,72			
0,100	-0,2230	0,70			
0,117	-0,2298	0,69			
0,133	-0,2365	0,69			
0,150	-0,2376	0,70			
0,167	-0,2343	0,70			
0,183	-0,2304	0,69			
0,200	-0,2281	0,69			
0,217	-0,2275	0,67			
0,233	-0,2276	0,67			
0,250	-0,0715	0,67			
0,267	0,2109	0,67			
0,283	0,4451	0,69			
0,300	0,4349	0,67			
0,317	0,4243	0,67			
0,333	0,4136	0,67			
0,350	0,4063	0,67			
0,367	0,4061	1,07			
0,383	0,4039	9,37			
0,400	0,3977	17,74			
0,417	0,3894	20,10			
0,433	0,3765	20,89			
0,450	0,3617	21,19			
0,467	0,3414	21,33			
0,483	0,3084	21,41			
0,500	0,2635	21,48			
0,517	0,2112	21,55			
0,533	0,1585	21,56			
0,550	0,1101	21,62			
0,567	0,0615	21,66			
0,583	0,0119	21,68			
0,600	-0,0327	21,68			
0,617	-0,0679	21,66			
0,633	-0,0962	21,62			
0,650	-0,1205	21,59			
0,667	-0,1426	21,52			
0,683	-0,1618	21,45			
0,700	-0,1763	21,39			
0,717	-0,1885	21,29			
0,733	-0,1988	21,17			
0,750	-0,2064	21,07			
0,767	-0,2118	20,97			
0,783	-0,2157	20,87			
0,800	-0,2187	20,73			
0,817	-0,2209	20,62			
0,833	-0,2228	20,47			
0,850	-0,2243	20,33			
0,867	-0,2256	20,20			
0,883	-0,2267	20,08			
0,900	-0,2275	19,95			
0,917	-0,2282	19,85			
0,933	-0,2288	19,77			
0,950	-0,2289	19,67			
0,967	-0,2286	19,57			
0,983	-0,2284	19,47			
1,000	-0,2283	19,40			
1,017	-0,2280	19,32			
1,033	-0,2270	19,25			
1,050	-0,2248	19,17			
1,067	-0,2215	19,13			
1,083	-0,2177	19,03			
1,100	-0,2141	18,97			
1,117	-0,2114	18,90			
1,133	-0,2095	18,83			
1,150	-0,2085	18,78			
1,167	-0,2081	18,73			
1,183	-0,2088	18,63			
1,200	-0,2105	18,58			
1,217	-0,2133	18,55			
1,233	-0,2169	18,47			
1,250	-0,2207	18,38			
1,267	-0,2242	18,30			
1,283	-0,2269	18,27			
1,300	-0,2288	18,22			
1,317	-0,2302	18,13			
1,333	-0,2313	18,10			
1,350	-0,2320	18,03			
1,367	-0,2326	17,95			
1,383	-0,2329	17,88			
1,400	-0,2331	17,83			
1,417	-0,2328	17,79			
1,433	-0,2319	17,71			
1,450	-0,2303	17,63			
1,467	-0,2281	17,56			
1,483	-0,2252	17,53			
1,500	-0,2217	17,48			
1,517	-0,2176	17,39			
1,533	-0,2130	17,34			
1,550	-0,2085	17,28			
1,567	-0,2048	17,24			
1,583	-0,2027	17,19			
1,600	-0,2022	17,11			
1,617	-0,2032	17,10			
1,633	-0,2055	17,02			
1,650	-0,2088	16,97			
1,667	-0,2127	16,88			
1,683	-0,2166	16,82			
1,700	-0,2201	16,77			
1,717	-0,2228	16,72			
1,733	-0,2248	16,68			
1,750	-0,2261	16,62			
1,767	-0,2270	16,57			
1,783	-0,2274	16,50			
1,800	-0,2272	16,45			
1,817	-0,2257	16,40			
1,833	-0,2208	16,30			
1,850	-0,2114	16,20			
1,867	-0,1993	16,10			
1,883	-0,1884	16,05			
1,900	-0,1804	16,01			
1,917	-0,1756	15,95			
1,933	-0,1742	15,90			
1,950	-0,1767	15,85			
1,967	-0,1825	15,77			
1,983	-0,1902	15,74			
2,000	-0,1980	15,70			
2,017	-0,2044	15,64			
2,033	-0,2091	15,57			
2,050	-0,2123	15,54			
2,067	-0,2146	15,49			
2,083	-0,2165	15,45			
2,100	-0,2183	15,38			
2,117	-0,2199	15,33			
2,133	-0,2215	15,28			
2,150	-0,2228	15,22			
2,167	-0,2239	15,17			
2,183	-0,2247	15,12			
2,200	-0,2254	15,07			
2,217	-0,2260	15,01			
2,233	-0,2264	14,96			
2,250	-0,2267	14,91			
2,267	-0,2269	14,86			
2,283	-0,2270	14,83			
2,300	-0,2271	14,75			
2,317	-0,2271	14,70			
2,333	-0,2272	14,65			
2,350	-0,2272	14,60			
2,367	-0,2272	14,52			
2,383	-0,2271	14,47			
2,400	-0,2269	14,40			
2,417	-0,2265	14,35			
2,433	-0,2258	14,28			
2,450	-0,2248	14,23			
2,467	-0,2234	14,22			
2,483	-0,2220	14,15			
2,500	-0,2209	14,08			
2,517	-0,2202	14,01			
2,533	-0,2200	13,96			
2,550	-0,2205	13,91			
2,567	-0,2213	13,85			
2,583	-0,2222	13,76			
2,600	-0,2230	13,71			
2,617	-0,2235	13,64			
2,633	-0,2238	13,58			
2,650	-0,2241	13,54			
2,667	-0,2242	13,48			
2,683	-0,2244	13,41			
2,700	-0,2245	13,36			
2,717	-0,2246	13,31			
2,733	-0,2247	13,22			
2,750	-0,2249	13,16			
2,767	-0,2251	13,09			
2,783	-0,2253	13,04			
2,800	-0,2254	12,97			
2,817	-0,2253	12,92			
2,833	-0,2246	12,87			
2,850	-0,2232	12,82			
2,867	-0,2214	12,77			
2,883	-0,2198	12,70			
2,900	-0,2187	12,63			
2,917	-0,2186	12,55			
2,933	-0,2190	12,48			
2,950	-0,2197	12,43			
2,967	-0,2203	12,40			
2,983	-0,2208	12,35			
3,000	-0,2212	12,30			
3,017	-0,2216	12,27			
3,033	-0,2221	12,18			
3,050	-0,2225	12,12			
3,067	-0,2229	12,05			
3,083	-0,2231	11,96			
3,100	-0,2231	11,88			
3,117	-0,2227	11,81			
3,133	-0,2217	11,76			
3,150	-0,2202	11,70			
3,167	-0,2186	11,63			
3,183	-0,2175	11,59			
3,200	-0,2172	11,53			
3,217	-0,2175	11,51			
3,233	-0,2181	11,49			
3,250	-0,2187	11,41			
3,267	-0,2192	11,32			
3,283	-0,2197	11,26			
3,300	-0,2201	11,21			
3,317	-0,2203	11,17			
3,333	-0,2203	11,12			
3,350	-0,2197	11,05			
3,367	-0,2186	10,99			
3,383	-0,2174	10,92			
3,400	-0,2165	10,85			
3,417	-0,2162	10,79			
3,433	-0,2163	10,73			
3,450	-0,2167	10,68			
3,467	-0,2172	10,62			
3,483	-0,2174	10,52			
3,500	-0,2172	10,43			
3,517	-0,2165	10,35			
3,533	-0,2156	10,26			
3,550	-0,2148	10,18			
3,567	-0,2144	10,11			
3,583	-0,2144	10,04			
3,600	-0,2145	9,94			
3,617	-0,2144	9,86			
3,633	-0,2138	9,74			
3,650	-0,2130	9,66			
3,667	-0,2126	9,57			
3,683	-0,2124	9,49			
3,700	-0,2121	9,39			
3,717	-0,2116	9,29			
3,733	-0,2111	9,18			
3,750	-0,2108	9,08			
3,767	-0,2106	8,98			
3,783	-0,2101	8,86			
3,800	-0,2096	8,76			
3,817	-0,2093	8,66			
3,833	-0,2091	8,58			
3,850	-0,2087	8,48			
3,867	-0,2085	8,38			
3,883	-0,2084	8,29			
3,900	-0,2082	8,19			
3,917	-0,2081	8,11			
3,933	-0,2081	8,04			
3,950	-0,2082	7,96			
3,967	-0,2083	7,87			
3,983	-0,2086	7,79			
4,000	-0,2088	7,71			
4,017	-0,2092	7,60			
4,033	-0,2096	7,52			
4,050	-0,2100	7,45			
4,067	-0,2104	7,40			
4,083	-0,2109	7,34			
4,100	-0,2114	7,30			
4,117	-0,2120	7,25			
4,133	-0,2128	7,20			
4,150	-0,2138	7,17			
4,167	-0,2147	7,13			
4,183	-0,2153	7,10			
4,200	-0,2157	7,07			
4,217	-0,2161	7,03			
4,233	-0,2164	7,02			
4,250	-0,2167	6,98			
4,267	-0,2169	6,96			
4,283	-0,2171	6,95			
4,300	-0,2173	6,93			
4,317	-0,2175	6,93			
4,333	-0,2177	6,91			
4,350	-0,2178	6,90			
4,367	-0,2179	6,90			
4,383	-0,2181	6,90			
4,400	-0,2182	6,90			
4,417	-0,2183	6,90			
4,433	-0,2184	6,91			
4,450	-0,2184	6,95			
4,467	-0,2185	6,95			
4,483	-0,2185	6,95			
