Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
0,000	-0,1056	7,74			
0,017	-0,0886	1,90			
0,033	-0,1665	0,69			
0,050	-0,2136	0,58			
0,067	-0,2277	0,56			
0,083	-0,2284	0,54			
0,100	-0,2284	0,54			
0,117	-0,2284	0,54			
0,133	-0,2285	0,54			
0,150	-0,2266	0,96			
0,167	-0,1534	0,76			
0,183	0,1192	0,53			
0,200	0,3825	0,51			
0,217	0,4008	0,51			
0,233	0,3869	0,51			
0,250	0,3789	0,51			
0,267	0,3681	0,50			
0,283	0,3542	4,78			
0,300	0,3415	14,29			
0,317	0,3344	17,83			
0,333	0,3233	18,89			
0,350	0,3114	19,43			
0,367	0,3022	19,78			
0,383	0,2951	19,99			
0,400	0,2927	20,24			
0,417	0,2923	20,44			
0,433	0,2892	20,61			
0,450	0,2825	20,75			
0,467	0,2719	20,89			
0,483	0,2598	21,02			
0,500	0,2439	21,13			
0,517	0,2223	21,22			
0,533	0,1971	21,25			
0,550	0,1708	21,28			
0,567	0,1396	21,23			
0,583	0,1038	21,21			
0,600	0,0645	21,18			
0,617	0,0219	21,11			
0,633	-0,0218	21,03			
0,650	-0,0610	20,96			
0,667	-0,0928	20,90			
0,683	-0,1188	20,80			
0,700	-0,1407	20,72			
0,717	-0,1579	20,64			
0,733	-0,1750	20,55			
0,750	-0,1882	20,47			
0,767	-0,1971	20,37			
0,783	-0,2054	20,26			
0,800	-0,2118	20,16			
0,817	-0,2154	20,04			
0,833	-0,2182	19,93			
0,850	-0,2213	19,84			
0,867	-0,2235	19,76			
0,883	-0,2250	19,68			
0,900	-0,2260	19,58			
0,917	-0,2268	19,52			
0,933	-0,2271	19,45			
0,950	-0,2268	19,38			
0,967	-0,2256	19,30			
0,983	-0,2235	19,22			
1,000	-0,2208	19,15			
1,017	-0,2177	19,09			
1,033	-0,2146	19,02			
1,050	-0,2121	18,97			
1,067	-0,2104	18,91			
1,083	-0,2096	18,84			
1,100	-0,2095	18,79			
1,117	-0,2103	18,77			
1,133	-0,2121	18,74			
1,150	-0,2145	18,69			
1,167	-0,2173	18,61			
1,183	-0,2201	18,56			
1,200	-0,2226	18,48			
1,217	-0,2249	18,41			
1,233	-0,2266	18,36			
1,250	-0,2280	18,30			
1,267	-0,2291	18,23			
1,283	-0,2300	18,16			
1,300	-0,2306	18,12			
1,317	-0,2311	18,08			
1,333	-0,2312	18,02			
1,350	-0,2309	17,95			
1,367	-0,2301	17,92			
1,383	-0,2288	17,85			
1,400	-0,2268	17,79			
1,417	-0,2242	17,74			
1,433	-0,2206	17,69			
1,450	-0,2161	17,64			
1,467	-0,2113	17,57			
1,483	-0,2069	17,51			
1,500	-0,2035	17,44			
1,517	-0,2016	17,39			
1,533	-0,2014	17,36			
1,550	-0,2028	17,29			
1,567	-0,2055	17,24			
1,583	-0,2091	17,18			
1,600	-0,2131	17,11			
1,617	-0,2169	17,06			
1,633	-0,2201	17,00			
1,650	-0,2225	16,95			
1,667	-0,2243	16,88			
1,683	-0,2254	16,83			
1,700	-0,2262	16,77			
1,717	-0,2265	16,73			
1,733	-0,2260	16,68			
1,750	-0,2227	16,63			
1,767	-0,2147	16,57			
1,783	-0,2015	16,52			
1,800	-0,1856	16,49			
1,817	-0,1706	16,42			
1,833	-0,1595	16,37			
1,850	-0,1538	16,30			
1,867	-0,1535	16,27			
1,883	-0,1582	16,24			
1,900	-0,1667	16,19			
1,917	-0,1771	16,14			
1,933	-0,1871	16,09			
1,950	-0,1955	16,01			
1,967	-0,2021	15,94			
1,983	-0,2071	15,89			
2,000	-0,2109	15,84			
2,017	-0,2139	15,78			
2,033	-0,2165	15,69			
2,050	-0,2187	15,65			
2,067	-0,2205	15,60			
2,083	-0,2220	15,55			
2,100	-0,2234	15,51			
2,117	-0,2245	15,46			
2,133	-0,2254	15,40			
2,150	-0,2262	15,37			
2,167	-0,2267	15,32			
2,183	-0,2271	15,28			
2,200	-0,2273	15,22			
2,217	-0,2273	15,17			
2,233	-0,2272	15,12			
2,250	-0,2271	15,07			
2,267	-0,2270	15,00			
2,283	-0,2271	14,97			
2,300	-0,2272	14,95			
2,317	-0,2273	14,89			
2,333	-0,2274	14,85			
2,350	-0,2273	14,79			
2,367	-0,2270	14,72			
2,383	-0,2262	14,69			
2,400	-0,2249	14,64			
2,417	-0,2231	14,57			
2,433	-0,2212	14,51			
2,450	-0,2195	14,48			
2,467	-0,2186	14,41			
2,483	-0,2185	14,36			
2,500	-0,2191	14,29			
2,517	-0,2203	14,23			
2,533	-0,2217	14,18			
2,550	-0,2228	14,11			
2,567	-0,2235	14,06			
2,583	-0,2240	14,03			
2,600	-0,2243	14,00			
2,617	-0,2246	13,93			
2,633	-0,2249	13,88			
2,650	-0,2252	13,82			
2,667	-0,2255	13,77			
2,683	-0,2258	13,70			
2,700	-0,2260	13,65			
2,717	-0,2263	13,59			
2,733	-0,2265	13,55			
2,750	-0,2267	13,49			
2,767	-0,2268	13,42			
2,783	-0,2266	13,39			
2,800	-0,2259	13,32			
2,817	-0,2245	13,26			
2,833	-0,2223	13,19			
2,850	-0,2202	13,14			
2,867	-0,2187	13,08			
2,883	-0,2181	13,04			
2,900	-0,2184	12,98			
2,917	-0,2193	12,94			
2,933	-0,2201	12,89			
2,950	-0,2207	12,83			
2,967	-0,2213	12,78			
2,983	-0,2218	12,71			
3,000	-0,2223	12,65			
3,017	-0,2229	12,58			
3,033	-0,2233	12,57			
3,050	-0,2237	12,52			
3,067	-0,2239	12,43			
3,083	-0,2238	12,38			
3,100	-0,2232	12,32			
3,117	-0,2219	12,27			
3,133	-0,2201	12,22			
